  # Printing MO Coeffients
      9.90851796773217552428e-01 	 1 1
      1.84020364648691980847e-01 	 1 2
      2.06987574108475153034e-01 	 1 3
     -1.08041963305265569040e-16 	 1 4
      2.45482273491520338998e-16 	 1 5
      5.75857234939412404584e-02 	 1 6
      3.08688689168172443467e-02 	 2 1
     -4.36043409160124073587e-01 	 2 2
     -8.04497400770608384057e-01 	 2 3
      6.07832025971730980526e-16 	 2 4
     -1.12614031358455411154e-15 	 2 5
     -7.85797472187173440261e-01 	 2 6
     -8.36703804166502064510e-03 	 3 1
     -3.53144096967989096214e-01 	 3 2
      6.12031551297201659168e-01 	 3 3
     -1.02846400558954424768e-16 	 3 4
      8.74419472433280327520e-16 	 3 5
     -1.04168816759972493458e+00 	 3 6
     -3.49471010717823724265e-17 	 4 1
      9.78404105913650604353e-18 	 4 2
     -1.04435074464975321638e-15 	 4 3
      2.14967378219836247055e-01 	 4 4
      9.76621229700281201502e-01 	 4 5
      3.32972113842225042131e-17 	 4 6
     -1.25193077526405548062e-16 	 5 1
      1.31141499261624317349e-16 	 5 2
     -3.39512221347869153709e-16 	 5 3
     -9.76621229700281090480e-01 	 5 4
      2.14967378219836302566e-01 	 5 5
     -1.88185852478465763175e-16 	 5 6
      1.05927617336773575996e-02 	 6 1
     -5.40850468774167980612e-01 	 6 2
      1.29418333970425347701e-01 	 6 3
     -2.24016182320499026533e-16 	 6 4
      1.36579478502644590011e-16 	 6 5
      1.29097230311085886534e+00 	 6 6
  # Printing 1 electron RDM
      1.99991090892482903385e+00 	 1 1
      5.48901463285341047714e-04 	 1 2
     -4.83944219498733791372e-04 	 1 3
      1.31765122791604588155e-16 	 1 4
      6.28563241235677402077e-18 	 1 5
     -1.17312188564542641336e-03 	 1 6
      5.48901463285341047714e-04 	 2 1
      1.96163551475174280370e+00 	 2 2
      6.50919243989688534047e-02 	 2 3
      3.06506483356519776624e-15 	 2 4
     -5.13215301421867412769e-15 	 2 5
     -7.62406206548082651664e-03 	 2 6
     -4.83944219498733791372e-04 	 3 1
      6.50919243989688534047e-02 	 3 2
      9.00353425106758045726e-03 	 3 3
      1.58959432568684444746e-16 	 3 4
      5.50418096632181070622e-17 	 3 5
      1.29850489721698610091e-02 	 3 6
      1.31765122791604588155e-16 	 4 1
      3.06506483356519776624e-15 	 4 2
      1.58959432568684444746e-16 	 4 3
      1.79314053045529007806e-03 	 4 4
     -1.71430228024896689697e-19 	 4 5
      9.27127802769104037984e-17 	 4 6
      6.28563241235677402077e-18 	 5 1
     -5.13215301421867412769e-15 	 5 2
      5.50418096632181070622e-17 	 5 3
     -1.71430228024896689697e-19 	 5 4
      1.79314053045529701695e-03 	 5 5
      4.77280655307224361897e-16 	 5 6
     -1.17312188564542641336e-03 	 6 1
     -7.62406206548082651664e-03 	 6 2
      1.29850489721698610091e-02 	 6 3
      9.27127802769104037984e-17 	 6 4
      4.77280655307224361897e-16 	 6 5
      2.58637610114430364916e-02 	 6 6
  # Printing 1 electron 1 photon RDM
      0.00000000000000000000e+00 	 1 1
      0.00000000000000000000e+00 	 1 2
      0.00000000000000000000e+00 	 1 3
      0.00000000000000000000e+00 	 1 4
      0.00000000000000000000e+00 	 1 5
      0.00000000000000000000e+00 	 1 6
      0.00000000000000000000e+00 	 2 1
      0.00000000000000000000e+00 	 2 2
      0.00000000000000000000e+00 	 2 3
      0.00000000000000000000e+00 	 2 4
      0.00000000000000000000e+00 	 2 5
      0.00000000000000000000e+00 	 2 6
      0.00000000000000000000e+00 	 3 1
      0.00000000000000000000e+00 	 3 2
      0.00000000000000000000e+00 	 3 3
      0.00000000000000000000e+00 	 3 4
      0.00000000000000000000e+00 	 3 5
      0.00000000000000000000e+00 	 3 6
      0.00000000000000000000e+00 	 4 1
      0.00000000000000000000e+00 	 4 2
      0.00000000000000000000e+00 	 4 3
      0.00000000000000000000e+00 	 4 4
      0.00000000000000000000e+00 	 4 5
      0.00000000000000000000e+00 	 4 6
      0.00000000000000000000e+00 	 5 1
      0.00000000000000000000e+00 	 5 2
      0.00000000000000000000e+00 	 5 3
      0.00000000000000000000e+00 	 5 4
      0.00000000000000000000e+00 	 5 5
      0.00000000000000000000e+00 	 5 6
      0.00000000000000000000e+00 	 6 1
      0.00000000000000000000e+00 	 6 2
      0.00000000000000000000e+00 	 6 3
      0.00000000000000000000e+00 	 6 4
      0.00000000000000000000e+00 	 6 5
      0.00000000000000000000e+00 	 6 6
  # Printing 2 electron RDM
      1.99986428869130894448e+00 	 1 1 1 1
      5.23976677263386430780e-04 	 1 1 2 1
      3.92314308644824061290e+00 	 1 1 2 2
     -4.86984741930203131159e-04 	 1 1 3 1
      1.30182746544987043569e-01 	 1 1 3 2
      1.79444913680490009122e-02 	 1 1 3 3
      1.31968340481052118885e-16 	 1 1 4 1
      6.12960154595171312012e-15 	 1 1 4 2
      3.17888958351116737761e-16 	 1 1 4 3
      3.53257716551238359903e-03 	 1 1 4 4
      6.23765318228016668244e-18 	 1 1 5 1
     -1.02649570360950509543e-14 	 1 1 5 2
      1.09590675700446754157e-16 	 1 1 5 3
     -3.39501571440375391507e-19 	 1 1 5 4
      3.53257716551239747682e-03 	 1 1 5 5
     -1.17361830651874828740e-03 	 1 1 6 1
     -1.52353440962457800656e-02 	 1 1 6 2
      2.59725246057847802827e-02 	 1 1 6 3
      1.85462685807101163931e-16 	 1 1 6 4
      9.54445401496351595034e-16 	 1 1 6 5
      5.17157059358651985392e-02 	 1 1 6 6
      5.23976677263386539200e-04 	 2 1 1 1
