  # Printing MO Coeffients
      9.90851796773217552428e-01 	 1 1
      1.84020364648691980847e-01 	 1 2
      2.06987574108475153034e-01 	 1 3
     -1.08041963305265569040e-16 	 1 4
      2.45482273491520338998e-16 	 1 5
      5.75857234939412404584e-02 	 1 6
      3.08688689168172443467e-02 	 2 1
     -4.36043409160124073587e-01 	 2 2
     -8.04497400770608384057e-01 	 2 3
      6.07832025971730980526e-16 	 2 4
     -1.12614031358455411154e-15 	 2 5
     -7.85797472187173440261e-01 	 2 6
     -8.36703804166502064510e-03 	 3 1
     -3.53144096967989096214e-01 	 3 2
      6.12031551297201659168e-01 	 3 3
     -1.02846400558954424768e-16 	 3 4
      8.74419472433280327520e-16 	 3 5
     -1.04168816759972493458e+00 	 3 6
     -3.49471010717823724265e-17 	 4 1
      9.78404105913650604353e-18 	 4 2
     -1.04435074464975321638e-15 	 4 3
      2.14967378219836247055e-01 	 4 4
      9.76621229700281201502e-01 	 4 5
      3.32972113842225042131e-17 	 4 6
     -1.25193077526405548062e-16 	 5 1
      1.31141499261624317349e-16 	 5 2
     -3.39512221347869153709e-16 	 5 3
     -9.76621229700281090480e-01 	 5 4
      2.14967378219836302566e-01 	 5 5
     -1.88185852478465763175e-16 	 5 6
      1.05927617336773575996e-02 	 6 1
     -5.40850468774167980612e-01 	 6 2
      1.29418333970425347701e-01 	 6 3
     -2.24016182320499026533e-16 	 6 4
      1.36579478502644590011e-16 	 6 5
      1.29097230311085886534e+00 	 6 6
  # Printing 1 electron RDM
      1.99991083985242168453e+00 	 1 1
      5.48992652638235546260e-04 	 1 2
     -4.74451207052140598065e-04 	 1 3
      8.29904247357024862826e-17 	 1 4
     -1.59106347649314682809e-16 	 1 5
     -1.17364285339973664288e-03 	 1 6
      5.48992652638235546260e-04 	 2 1
      1.96159204077440385561e+00 	 2 2
      6.51060100202404262726e-02 	 2 3
     -7.62103828362760309800e-16 	 2 4
     -8.19407785238017046332e-15 	 2 5
     -7.73977650216783625431e-03 	 2 6
     -4.74451207052140598065e-04 	 3 1
      6.51060100202404262726e-02 	 3 2
      9.04237613423680870739e-03 	 3 3
     -3.70627443345688360757e-17 	 3 4
     -3.02992993034236743186e-16 	 3 5
      1.29978520098993962500e-02 	 3 6
      8.29904247357024862826e-17 	 4 1
     -7.62103828362760309800e-16 	 4 2
     -3.70627443345688360757e-17 	 4 3
      1.78872642334423816862e-03 	 4 4
     -1.70987523076986360845e-19 	 4 5
     -1.78368574971702690356e-17 	 4 6
     -1.59106347649314682809e-16 	 5 1
     -8.19407785238017046332e-15 	 5 2
     -3.02992993034236743186e-16 	 5 3
     -1.70987523076986360845e-19 	 5 4
      1.78872642334422298979e-03 	 5 5
     -2.48054076252694916052e-18 	 5 6
     -1.17364285339973664288e-03 	 6 1
     -7.73977650216783625431e-03 	 6 2
      1.29978520098993962500e-02 	 6 3
     -1.78368574971702690356e-17 	 6 4
     -2.48054076252694916052e-18 	 6 5
      2.58772903922575986391e-02 	 6 6
  # Printing 1 electron 1 photon RDM
     -1.48257463251587506825e-01 	 1 1
     -1.17370169563805758396e-05 	 1 2
     -2.53475292648355006887e-04 	 1 3
     -6.07217713422775641756e-18 	 1 4
      9.74942904321509114787e-18 	 1 5
      2.22312340020446784451e-04 	 1 6
     -1.17370169563805741455e-05 	 2 1
     -1.46407736212135874965e-01 	 2 2
      2.38295437574995595115e-03 	 2 3
      3.56161272923303829911e-17 	 2 4
      3.19303783751610154674e-16 	 2 5
      2.19327019344853690538e-03 	 2 6
     -2.53475292648355006887e-04 	 3 1
      2.38295437574995595115e-03 	 3 2
      1.17773453155986773363e-04 	 3 3
     -1.44413159207128398076e-18 	 3 4
     -2.19324597192192593586e-17 	 3 5
     -6.21894141398831343075e-04 	 3 6
     -6.07217713422775641756e-18 	 4 1
      3.56161272923303891541e-17 	 4 2
     -1.44413159207128417335e-18 	 4 3
     -6.75015881471854168033e-05 	 4 4
      6.09583782167889725729e-21 	 4 5
      1.28193858612531155399e-19 	 4 6
      9.74942904321509114787e-18 	 5 1
      3.19303783751610154674e-16 	 5 2
     -2.19324597192192624400e-17 	 5 3
      6.09583782167889725729e-21 	 5 4
     -6.75015881471852677255e-05 	 5 5
     -1.03993761329663756148e-17 	 5 6
      2.22312340020446784451e-04 	 6 1
      2.19327019344853690538e-03 	 6 2
     -6.21894141398831343075e-04 	 6 3
      1.28193858612531059103e-19 	 6 4
     -1.03993761329663771556e-17 	 6 5
     -1.84431370404767821548e-03 	 6 6
  # Printing 2 electron RDM
      1.99986414666738987478e+00 	 1 1 1 1
      5.24057026487519507854e-04 	 1 1 2 1
      3.92305602950107656923e+00 	 1 1 2 2
     -4.77461729308126952859e-04 	 1 1 3 1
      1.30210923320517812929e-01 	 1 1 3 2
      1.80221129019111463154e-02 	 1 1 3 3
      8.31492660222167357518e-17 	 1 1 4 1
     -1.52447354249013159920e-15 	 1 1 4 2
     -7.40496997494784792002e-17 	 1 1 4 3
      3.52375334221474928800e-03 	 1 1 4 4
     -1.59342024363474468159e-16 	 1 1 5 1
     -1.63876798779833194017e-14 	 1 1 5 2
     -6.06038298087536693426e-16 	 1 1 5 3
     -3.38615998957988566588e-19 	 1 1 5 4
      3.52375334221471849666e-03 	 1 1 5 5
     -1.17413725901316509312e-03 	 1 1 6 1
     -1.54667632465338954206e-02 	 1 1 6 2
      2.59981571585579281092e-02 	 1 1 6 3
     -3.56262942616267048433e-17 	 1 1 6 4
     -5.03775697239759406401e-18 	 1 1 6 5
      5.17427238024562793917e-02 	 1 1 6 6
